"","Var1","Freq"
"1","0",4
"2","11",1
"3","15",1
"4","20",6
"5","23",7
"6","26",2
"7","27",3
"8","28",4
"9","32",2
"10","35",1
"11","36",1
"12","37",2
"13","38",1
"14","42",25
"15","43",4
"16","44",19
"17","46",1
"18","48",1
"19","49",2
"20","51",1
"21","55",1
"22","58",3
"23","6",1
"24","60",1
"25","62",7
"26","63",2
"27","76",12
"28","78",12
"29","8",10
"30","80",5
"31","81",6
"32","83",46
"33","85",9
"34","87",6
"35","88",1
"36","89",1
"37","9",1
"38","90",5
"39","91",1
"40","94",1
"41","97",1
"42","Ab",1
"43","AB",39
"44","AK",4
"45","AL",17
"46","An",1
"47","AR",18
"48","At",1
"49","Au",27
"50","AZ",52
"51","Ba",3
"52","BC",12
"53","Be",6
"54","Bi",2
"55","Bl",1
"56","Bo",21
"57","Br",1
"58","Bu",1
"59","Ca",13
"60","CA",368
"61","Ce",37
"62","Ch",3
"63","Ci",2
"64","Co",32
"65","CO",33
"66","Có",1
"67","Cr",1
"68","CT",31
"69","Cu",2
"70","Da",1
"71","DC",87
"72","De",11
"73","DE",6
"74","Di",2
"75","Do",8
"76","Du",6
"77","Ec",2
"78","El",2
"79","En",1
"80","Fi",7
"81","FL",148
"82","Fr",2
"83","Ga",1
"84","GA",78
"85","Ge",13
"86","Gh",2
"87","Gl",2
"88","Go",2
"89","Gr",4
"90","Gt",1
"91","Gu",3
"92","Ha",1
"93","HI",2
"94","Ho",1
"95","Hu",2
"96","IA",30
"97","ID",8
"98","IL",172
"99","IN",59
"100","It",1
"101","Ja",4
"102","Ka",3
"103","Ko",1
"104","KS",257
"105","Ku",1
"106","KY",28
"107","La",8
"108","LA",36
"109","Le",1
"110","Lo",4
"111","Ma",2
"112","MA",59
"113","MB",6
"114","MD",63
"115","Me",85
"116","ME",8
"117","Mi",4
"118","MI",62
"119","MN",58
"120","Mo",1
"121","MO",54
"122","MS",15
"123","MT",9
"124","Na",9
"125","NB",1
"126","NC",75
"127","ND",5
"128","Ne",146
"129","NE",27
"130","NH",5
"131","Ni",1
"132","NJ",56
"133","NM",11
"134","No",19
"135","NS",4
"136","NT",1
"137","NV",35
"138","NY",115
"139","Oa",1
"140","OH",62
"141","OK",48
"142","Om",2
"143","ON",89
"144","OR",34
"145","Pa",7
"146","PA",101
"147","Po",3
"148","Pu",8
"149","QC",17
"150","Ra",1
"151","Re",8
"152","Ri",9
"153","RI",7
"154","Ro",5
"155","Sa",26
"156","SC",22
"157","SD",10
"158","Se",39
"159","Sh",1
"160","Si",2
"161","SK",8
"162","Sl",1
"163","Sm",1
"164","So",12
"165","Sr",1
"166","St",16
"167","Su",1
"168","Sw",11
"169","Ta",2
"170","Th",1
"171","Ti",3
"172","TN",54
"173","To",70
"174","Tu",1
"175","TX",246
"176","Ug",1
"177","UK",65
"178","Un",53
"179","Ur",2
"180","US",10
"181","UT",12
"182","VA",54
"183","Vi",1
"184","VI",1
"185","Vo",1
"186","VT",4
"187","Wa",1
"188","WA",32
"189","WI",51
"190","WV",4
"191","WY",7
"192","Za",18
